"efo_id","disease_full_name","number_of_associations"
"Orphanet_88643","Obesity - colitis - hypothyroidism - cardiac hypertrophy - developmental delay",0
"Orphanet_629","Short stature due to growth hormone qualitative anomaly",13
"Orphanet_231671","Isolated growth hormone deficiency type IB",29
"Orphanet_95702","Cytomegalic congenital adrenal hypoplasia",154
"Orphanet_199296","Congenital isolated ACTH deficiency",33
"Orphanet_31154","Hypobetalipoproteinemia",682
"Orphanet_139480","Autosomal recessive spastic paraplegia type 39",3
"Orphanet_309015","Familial lipoprotein lipase deficiency",36
"Orphanet_3087","Retinohepatoendocrinologic syndrome",28
"Orphanet_361","Familial glucocorticoid deficiency",304
"Orphanet_403","Familial hyperaldosteronism type I",97
"Orphanet_2978","Chronic intestinal pseudoobstruction",75
"Orphanet_363300","Genetic intractable diarrhea of infancy",275
"EFO_1000060","intestinal disaccharide deficiency and disaccharide malabsorption",130
"MONDO_0044303","congenital heart defects and ectodermal dysplasia",1
"Orphanet_309337","Lysosomal glycogen storage disease",161
"Orphanet_309239","Tay-Sachs disease, B1 variant",1
"MONDO_0045046","inherited thyroid metabolism disease",78
"Orphanet_382","Guanidinoacetate methyltransferase deficiency",37
"Orphanet_976","Adenine phosphoribosyltransferase deficiency",9
"MONDO_0037938","inborn disorder of aspartate family metabolism",59
"Orphanet_101150","Autosomal recessive dopa-responsive dystonia",75
"MONDO_0004741","tyrosinemia",70
"Orphanet_716","Phenylketonuria",200
"Orphanet_79163","Classic organic aciduria",1033
"Orphanet_35","Propionic acidemia",56
"Orphanet_23","Argininosuccinic aciduria",33
"Orphanet_90","Argininemia",31
"Orphanet_94086","Blue diaper syndrome",80
"MONDO_0004689","inborn metal metabolism disorder",1464
"MONDO_0020628","microcephaly, growth restriction, and increased sister chromatid exchange 2",1
"MONDO_0017986","disorder of plasmalogens biosynthesis",180
"Orphanet_2364","Glycogen storage disease due to lactate dehydrogenase deficiency",73
"Orphanet_832","Succinyl-CoA:3-ketoacid CoA transferase deficiency",24
"Orphanet_101028","Transaldolase deficiency",202
"Orphanet_69076","Renal glucosuria",158
"Orphanet_370921","STT3A-CDG",14
"Orphanet_370924","STT3B-CDG",16
"Orphanet_98543","Metabolic disease with dementia",3342
"Orphanet_289560","Neurodegeneration with brain iron accumulation due to C19orf12 mutation",20
"Orphanet_3315","Thiopurine S-methyltransferase deficiency",1
"EFO_1001510","specific language impairment",201
"Orphanet_87884","Non-syndromic genetic deafness",981
"Orphanet_163","Hereditary hyperferritinemia with congenital cataracts",42
"Orphanet_140477","Autosomal recessive hereditary sensory and autonomic neuropathy",88
"Orphanet_352723","Attenuated Chédiak-Higashi syndrome",1
"Orphanet_306577","Sodium channelopathy-related small fiber neuropathy",7
"Orphanet_391392","Familial episodic pain syndrome with predominantly lower limb involvement",19
"EFO_0009904","Lopes-Maciel-Rodan syndrome",1
"Orphanet_98701","Phakomatosis with eye involvement",909
"Orphanet_2585","Ataxia - pancytopenia",80
"Orphanet_158124","Genetic dementia",5067
"Orphanet_97345","Familial dementia, British type",1
"Orphanet_329195","Developmental delay with autism spectrum disorder and gait instability",25
"Orphanet_3175","Spasticity - intellectual disability - X-linked epilepsy",52
"Orphanet_93952","X-linked intellectual disability, Hedera type",101
"Orphanet_209370","Severe neonatal-onset encephalopathy with microcephaly",5
"Orphanet_98819","Familial temporal epilepsy",0
"Orphanet_293181","Malignant migrating partial seizures of infancy",132
"Orphanet_369847","Intellectual disability-hyperkinetic movement-truncal ataxia syndrome",51
"Orphanet_93964","Blepharospasm - oromandibular dystonia",5
"Orphanet_307067","Rare genetic disease with myoclonus as a major feature",404
"Orphanet_306759","Non progressive epilepsy and/or ataxia with myoclonus as a major feature",228
"Orphanet_307058","Miscellaneous movement disorder due to genetic neurodegenerative disease",2128
"Orphanet_228169","Autosomal dominant striatal neurodegeneration",107
"Orphanet_306708","Frontotemporal neurodegeneration with movement disorder",717
"Orphanet_278","Corticobasal degeneration",96
"Orphanet_98259","Childhood-onset epilepsy syndrome",1280
"Orphanet_402082","Progressive myoclonic epilepsy type 5",0
"Orphanet_98815","Benign childhood occipital epilepsy, Panayiotopoulos type",2
"Orphanet_166308","Benign infantile focal epilepsy with midline spikes and wave during sleep",0
"MONDO_0020846","mental retardation, autosomal recessive 64",1
"Orphanet_178469","Autosomal dominant non-syndromic intellectual disability",548
"Orphanet_85334","X-linked neurodegenerative syndrome, Bertini type",0
"EFO_0009297","fg syndrome",11
"Orphanet_163982","X-linked intellectual disability - spastic quadriparesis",5
"Orphanet_280210","Pelizaeus-Merzbacher disease, connatal form",4
"Orphanet_85318","X-linked intellectual disability - precocious puberty - obesity",0
"Orphanet_2816","Spastic paraplegia - epilepsy - intellectual disability",29
"MONDO_0043878","hereditary optic atrophy",1240
"Orphanet_363717","Alexander disease type I",0
"Orphanet_401849","Autosomal recessive spastic paraplegia type 72",18
"Orphanet_100979","Autosomal dominant complex spastic paraplegia",129
"Orphanet_401810","Autosomal recessive spastic paraplegia type 64",59
"Orphanet_320346","Pure or complex autosomal recessive spastic paraplegia",246
"Orphanet_85162","Facial onset sensory and motor neuronopathy",2
"Orphanet_363969","Autosomal recessive cerebral atrophy",0
"Orphanet_209908","Childhood apraxia of speech",161
"EFO_0009048","Intrahepatic cholestasis of pregnancy",86
"Orphanet_79124","Hepatic veno-occlusive disease - immunodeficiency",25
"Orphanet_99842","Leukocyte adhesion deficiency type I",19
"EFO_1001496","Autosomal dominant polycystic kidney disease",493
"EFO_0010253","Menke-Hennekam syndrome 2",1
"EFO_0009650","hyperproinsulinemia",14
"EFO_0010167","squalene synthase deficiency",1
"Orphanet_319563","Mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency",207
"Orphanet_331244","Other immunodeficiency syndrome with predominantly antibody defects",65
"MONDO_0014415","kallikrein, decreased urinary activity of",1
"MONDO_0002350","familial nephrotic syndrome",630
"MONDO_0018170","idiopathic nephrotic syndrome",492
"Orphanet_93221","Sporadic idiopathic steroid-resistant nephrotic syndrome with minimal changes",0
"Orphanet_1480","Ventricular septal defect",473
"Orphanet_91416","Isolated congenital alacrima",14
"Orphanet_98595","Eyebrow/eyelashes hypertrichosis",2
"Orphanet_2999","Ptosis - strabismus - ectopic pupils",19
"Orphanet_98580","Palpebral tumor",1379
"Orphanet_183601","Rare genetic refraction anomaly",1463
"Orphanet_98622","Syndromic hyperopia",789
"Orphanet_98619","Rare isolated myopia",28
"EFO_1001227","ureterocele",1
"Orphanet_183731","Rare genetic gynecological and obstetrical diseases",4588
"Orphanet_325638","Syndrome with disorder of sex development of gynecological interest",849
"MONDO_0012909","skeletal defects, genital hypoplasia, and mental retardation",1
"MONDO_0013536","heme oxygenase 1 deficiency",1
"MONDO_0014769","inherited oocyte maturation defect",62
"Orphanet_404466","Female infertility due to zona pellucida defect",61
"EFO_1000104","Bartholin Gland Squamous Cell Carcinoma",0
"EFO_0000432","breast ductal carcinoma in situ",1758
"MONDO_0044704","oropharynx squamous cell carcinoma",204
"EFO_0000559","keratinizing squamous cell carcinoma",33
"MONDO_0003500","squamous cell bile duct carcinoma",1
"Orphanet_377","Gorlin syndrome",188
"EFO_0002894","amelanotic skin melanoma",5
"MONDO_0002167","rectum malignant melanoma",5
"EFO_1001051","mycosis fungoides",348
"EFO_1000763","sebaceous gland disease",1137
"Orphanet_168","Loose anagen syndrome",146
"Orphanet_157954","ANE syndrome",159
"EFO_0009163","woolly hair, autosomal recessive 2, with or without hypotrichosis",1
"Orphanet_769","Rabson-Mendenhall syndrome",22
"Orphanet_2026","Gingival fibromatosis-hypertrichosis syndrome",3
"Orphanet_69087","Naegeli-Franceschetti-Jadassohn syndrome",4
"Orphanet_1234","Bartsocas-Papas syndrome",51
"Orphanet_69088","Anhidrotic ectodermal dysplasia - immunodeficiency - osteopetrosis - lymphedema",45
"Orphanet_2067","GAPO syndrome",92
"Orphanet_1816","Ectodermal dysplasia, Berlin type",135
"Orphanet_2721","Odonto-onycho-dermal dysplasia",18
"Orphanet_2045","FLOTCH syndrome",0
"Orphanet_1487","Cooks syndrome",17
"MONDO_0021489","benign neoplasm of sweat gland",210
"Orphanet_79145","Dowling-Degos disease",204
"Orphanet_1359","Carney complex",871
"Orphanet_231500","Hermansky-Pudlak syndrome with pulmonary fibrosis",47
"Orphanet_998","Albinism-deafness syndrome",12
"Orphanet_50811","Lipodystrophy - intellectual disability - deafness",59
"EFO_1000750","perinatal jaundice due to hepatocellular damage",0
"Orphanet_498","Keratosis pilaris atrophicans",82
"EFO_0007402","onchocerciasis",90
"EFO_0007398","ocular onchocerciasis",18
"Orphanet_313936","PENS syndrome",0
"Orphanet_867","Familial multiple trichoepithelioma",5
"Orphanet_171723","White sponge nevus",31
"Orphanet_2396","Encephalocraniocutaneous lipomatosis",17
"MONDO_0008093","nevus, epidermal",19
"Orphanet_308166","Erythrokeratoderma variabilis progressiva",47
"Orphanet_221039","Hereditary sclerosing poikiloderma, Weary type",0
"Orphanet_455","Superficial epidermolytic ichthyosis",28
"EFO_0009043","Familial porphyria cutanea tarda",1339
"MONDO_0060729","protoporphyria, erythropoietic, 2",1
"EFO_0009064","X-linked erythropoietic protoporphyria",3
"Orphanet_217085","Mucopolysaccharidosis type 2, severe form",0
"Orphanet_2836","PEHO syndrome",68
"Orphanet_774","Hereditary hemorrhagic telangiectasia",189
"Orphanet_2202","Palmoplantar keratoderma-deafness syndrome",56
"Orphanet_79141","Hereditary painful callosities",0
"Orphanet_2201","Palmoplantar keratoderma-spastic paralysis syndrome",2
"Orphanet_89838","KRT14-related epidermolysis bullosa simplex",30
"Orphanet_276267","Xeroderma pigmentosum complementation group G",130
"Orphanet_168606","Seborrhea-like dermatitis with psoriasiform elements",2
"EFO_1000711","hyperpigmentation of eyelid",0
"EFO_1000341","Lymphomatoid Papulosis",41
"EFO_0008608","radiotherapy-induced pemphigus",0
"EFO_1000742","nodular nonsuppurative panniculitis",6
"EFO_1000738","necrobiosis lipoidica",22
"EFO_0007510","tinea",39
"MONDO_0024295","skin disease caused by bacterial infection",736
"MONDO_0002875","parasitic ectoparasitic infectious disease",70
"MONDO_0000879","cutaneous candidiasis",71
"EFO_1000757","porokeratosis",133
"EFO_0005531","urticaria",722
"EFO_1000765","seborrheic infantile dermatitis",3
"EFO_0003869","breast neoplasm",10465
"EFO_0008491","atypical ductal hyperplasia",88
"EFO_0006861","male breast carcinoma",214
"MONDO_0000620","breast benign neoplasm",150
"Orphanet_98975","Congenital hereditary endothelial dystrophy type I",4
"Orphanet_98970","Fleck corneal dystrophy",195
"MONDO_0000255","subcutaneous mycosis",19
"Orphanet_758","Pseudoxanthoma elasticum",131
"EFO_1001882","cutaneous nodular amyloidosis",436
"Orphanet_293633","PYCR1-related De Barsy syndrome",33
"Orphanet_3071","Costello syndrome",68
"MONDO_0054813","ehlers-danlos syndrome, classic-like, 2",1
"Orphanet_230857","Ehlers-Danlos/osteogenesis imperfecta syndrome",1
"Orphanet_90318","Ehlers-Danlos syndrome type 2",3
"Orphanet_90309","Ehlers-Danlos syndrome type 1",10
"Orphanet_2295","Ehlers-Danlos syndrome type 11",3
"Orphanet_974","Adams-Oliver syndrome",1028
"MONDO_0021204","chronic otitis media",194
"MONDO_0003277","malignant ear neoplasm",7
"EFO_0009691","vestibular disease",165
"EFO_1001825","pleurisy",289
"EFO_0004610","acute lung injury",1047
"EFO_0007448","pneumocystosis",351
"MONDO_0000265","aspiration pneumonia (disease)",0
"EFO_0009910","chronic lung disease",5353
"Orphanet_101050","Familial hypocalciuric hypercalcemia type 3",36
"MONDO_0017035","secondary interstitial lung disease in childhood and adulthood associated with a systemic disease",1068
"EFO_1001834","pulmonary aspergillosis",89
"MONDO_0007648","hereditary diffuse gastric adenocarcinoma",30
"Orphanet_887","VACTERL/VATER association",34
"MONDO_0020516","thymic neuroendocrine carcinoma",8
"EFO_0007362","mediastinal cancer",210
"EFO_1001285","Cardiac Tamponade",45
"Orphanet_70589","Bronchopulmonary dysplasia",696
"EFO_1000849","bronchial neoplasm",7
"EFO_0009661","bronchitis",593
"Orphanet_280","Wolf-Hirschhorn syndrome",66
"MONDO_0043707","mediastinal disease",219
"EFO_0007328","influenza",2758
"EFO_1000365","Maxillary Sinus Adenoid Cystic Carcinoma",6
"MONDO_0001763","ethmoid sinus cancer",0
"MONDO_0004821","nasopharyngeal disease",716
"MONDO_0004685","Waldeyer's ring cancer",98
"MONDO_0021250","tonsil neoplasm",98
"EFO_0009364","non-allergic rhinitis",47
"EFO_1001437","Tracheal neoplasm",33
"EFO_0005567","malignant peritoneal mesothelioma",51
"Orphanet_3471","Young syndrome",3
"Orphanet_247522","Primary ciliary dyskinesia - retinitis pigmentosa",106
"EFO_0000694","severe acute respiratory syndrome",265
"Orphanet_309028","Disorder of lipid absorption and transport",8
"EFO_1000652","acute pancreatitis",866
"EFO_0006315","thiopurine immunosuppressant-induced pancreatitis",28
"EFO_0002498","aggressive insulitis",1
"Orphanet_276608","Adult-onset non-insulinoma persistent hyperinsulinemic hypoglycemia",0
"Orphanet_79644","Autosomal recessive hyperinsulinism due to Kir6.2 deficiency",44
"EFO_1001121","prediabetes syndrome",398
"Orphanet_64","Alström syndrome",244
"EFO_1000398","Non-Functional Pancreatic Neuroendocrine Tumor",33
"MONDO_0003804","blood protein disease",227
"Orphanet_163596","Hb Bart's hydrops fetalis",115
"Orphanet_231222","Beta-thalassemia intermedia",61
"MONDO_0020585","anemia due to erythrocyte enzyme disorder",347
"Orphanet_713","Glycogen storage disease due to phosphoglycerate kinase 1 deficiency",71
"MONDO_0018740","drug-induced methemoglobinemia",2
"Orphanet_98396","Constitutional megaloblastic anemia due to vitamin B12 metabolism disorder",263
"Orphanet_79282","Methylmalonic acidemia with homocystinuria, type cblC",10
"Orphanet_1195","Congenital atransferrinemia",13
"MONDO_0000387","hypochromic microcytic anemia (disease)",659
"Orphanet_93610","Distal renal tubular acidosis with anemia",142
"Orphanet_3203","Overhydrated hereditary stomatocytosis",8
"Orphanet_200421","Immunodeficiency with factor H anomaly",14
"Orphanet_330032","Hemoglobin Lepore - beta-thalassemia",0
"MONDO_0024305","acquired hyperprolactinemia",0
"Orphanet_182050","MYH9-related disease",6
"EFO_0009646","macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss",1
"Orphanet_71290","Familial platelet syndrome with predisposition to acute myelogenous leukemia",5
"Orphanet_111","Barth syndrome",445
"EFO_1000641","congenital nonspherocytic hemolytic anemia",34
"EFO_0009001","Mastocytosis",523
"MONDO_0042493","gastric non-hodgkin lymphoma",80
"EFO_1000191","Colorectal Diffuse Large B-Cell Lymphoma",8
"EFO_0000191","MALT lymphoma",829
"EFO_0007215","composite lymphoma",13
"EFO_0006475","plasma cell leukemia",260
"EFO_1002001","core binding factor acute myeloid leukemia",66
"EFO_1000575","Therapy-Related Myeloid Neoplasm",55
"EFO_0005804","polycythemia",924
"Orphanet_250165","Genetic polycythemia",845
"Orphanet_1572","Common variable immunodeficiency",1257
"Orphanet_448","Hemophilia",291
"Orphanet_330","Congenital factor XII deficiency",30
"MONDO_0036696","spleen neoplasm",826
"Orphanet_540","Familial hemophagocytic lymphohistiocytosis",775
"EFO_0009119","precursor lymphoblastic lymphoma/leukemia",3017
"EFO_0003102","osteomyelitis",491
"Orphanet_1802","Ghosal hematodiaphyseal dysplasia",10
"EFO_1000964","hemorrhagic disease of newborn",4
"MONDO_0002610","purpura (disease)",695
"EFO_1000151","Cavernous Hemangioma",95
"MONDO_0024307","prothrombin deficiency",25
"EFO_1000296","High Grade Surface Osteosarcoma",3
"Orphanet_55881","Adamantinoma",47
"EFO_1001041","mesenchymal chondrosarcoma",61
"EFO_0005856","arthritis",7584
"EFO_0007460","reactive arthritis",121
"EFO_0009745","persistent oligoarticular juvenile idiopathic arthritis",0
"EFO_0005279","temporomandibular joint disorder",192
"Orphanet_32960","Tumor necrosis factor receptor 1 associated periodic syndrome",53
"Orphanet_210115","Sterile multifocal osteomyelitis with periostitis and pustulosis",87
"MONDO_0054700","proteasome-associated autoinflammatory syndrome 2",1
"Orphanet_2053","Freeman-Sheldon syndrome",109
"Orphanet_2025","Gingival fibromatosis - facial dysmorphism",35
"Orphanet_1830","Schimke immuno-osseous dysplasia",92
"Orphanet_247676","Adult hypophosphatasia",13
"Orphanet_2771","Bruck syndrome",11
"EFO_1000540","Soft Tissue Chondroma",9
"MONDO_0002507","gingival overgrowth",120
"MONDO_0002233","enamel caries",15
"EFO_0009612","jaw fracture",40
"EFO_1000543","Spinal Chordoma",19
"MONDO_0002998","skull base meningioma",22
"Orphanet_399388","Avascular necrosis of genetic origin",984
"Orphanet_324761","Microcephalic primordial dwarfism",927
"Orphanet_319671","Microcephalic primordial dwarfism, Alazami type",15
"Orphanet_3472","Yunis-Varon syndrome",16
"Orphanet_284139","Larsen-like syndrome, B3GAT3 type",30
"Orphanet_3416","Hyperostosis corticalis generalisata",191
"Orphanet_216828","Osteogenesis imperfecta type 5",41
"Orphanet_2772","Congenital osteogenesis imperfecta - microcephaly - cataracts",44
"Orphanet_93277","Monostotic fibrous dysplasia",3
"Orphanet_1427","Otospondylomegaepiphyseal dysplasia",8
"Orphanet_2632","Langer mesomelic dysplasia",42
"Orphanet_3460","Torg-Winchester syndrome",14
"Orphanet_2770","Nasu-Hakola disease",150
"Orphanet_1436","Skeletal dysplasia - intellectual disability",54
"Orphanet_93302","Brachyolmia, Maroteaux type",3
"Orphanet_61","Alpha-mannosidosis",22
"Orphanet_93473","Hurler syndrome",38
"Orphanet_576","Mucolipidosis type II",65
"Orphanet_168796","Heart-hand syndrome, Slovenian type",94
"Orphanet_93457","Non-syndromic limb reduction defect",307
"Orphanet_294971","Tetra-amelia",3
"Orphanet_295101","Acheiria, unilateral",0
"Orphanet_69028","Syndrome with brachydactyly",1607
"Orphanet_783","Rubinstein-Taybi syndrome",105
"Orphanet_353277","Rubinstein-Taybi syndrome due to CREBBP mutations",12
"Orphanet_1113","Aphalangy - syndactyly - microcephaly",22
"Orphanet_2920","Oliver syndrome",15
"Orphanet_93338","Polysyndactyly",58
"Orphanet_295010","Central polydactyly of toes",0
"Orphanet_295167","Postaxial polydactyly type B, unilateral",0
"Orphanet_87","Apert syndrome",32
"Orphanet_53271","Muenke syndrome",65
"Orphanet_2145","Craniosynostosis, Herrmann-Opitz type",0
"Orphanet_207","Crouzon disease",24
"Orphanet_86789","Patella aplasia/hypoplasia",5
"EFO_1000648","developmental dysplasia of the hip",80
"EFO_0006511","Kashin-Beck disease",76
"EFO_0003882","osteoporosis",1687
"MONDO_0003295","leiomyomatosis",96
"Orphanet_183497","Genetic neuromuscular disease",6934
"Orphanet_265","Autosomal dominant limb-girdle muscular dystrophy type 1C",68
"Orphanet_172976","Congenital myopathy with cores",295
"EFO_0002509","progressive external ophthalmoplegia",397
"Orphanet_329314","Adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency",93
"Orphanet_254857","Lethal infantile mitochondrial myopathy",57
"Orphanet_313772","Early-onset spastic ataxia-neuropathy syndrome",62
"Orphanet_1933","Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria",10
"Orphanet_98893","Congenital muscular dystrophy type 1B",3
"Orphanet_262","Duchenne and Becker muscular dystrophy",1684
"Orphanet_206549","Autosomal recessive limb-girdle muscular dystrophy type 2L",69
"Orphanet_55595","Autosomal dominant limb-girdle muscular dystrophy type 1F",110
"Orphanet_178400","Distal myopathy with anterior tibial onset",72
"Orphanet_209050","Qualitative or quantitative defects of protein ZASP",38
"Orphanet_209041","Qualitative or quantitative defects of desmin",345
"Orphanet_209182","Qualitative or quantitative defects of nebulin",5
"Orphanet_207113","Qualitative or quantitative defects of protein involved in O-glycosylation of alpha-dystroglycan",375
"Orphanet_2590","Hereditary myoclonus - progressive distal muscular atrophy",65
"Orphanet_101084","Charcot-Marie-Tooth disease type 1D",53
"Orphanet_1215","Autosomal dominant optic atrophy plus syndrome",510
"Orphanet_64746","Autosomal dominant Charcot-Marie-Tooth disease type 2",408
"Orphanet_99945","Autosomal dominant Charcot-Marie-Tooth disease type 2L",162
"Orphanet_99937","Autosomal dominant Charcot-Marie-Tooth disease type 2C",6
"Orphanet_83420","Proximal spinal muscular atrophy type 4",240
"EFO_1000941","frozen shoulder",225
"EFO_1000653","sarcopenia",287
"EFO_1001899","muscular channelopathy",786
"EFO_1001819","orbital myositis",4
"Orphanet_228012","Progressive sensorineural hearing loss - hypertrophic cardiomyopathy",24
"Orphanet_352563","Infantile hypertrophic cardiomyopathy due to MRPL44 deficiency",323
"Orphanet_104","Leber hereditary optic neuropathy",173
"Orphanet_217616","Fatty acid oxidation and ketogenesis disorder with dilated cardiomyopathy",131
"EFO_1000801","alcoholic cardiomyopathy",36
"Orphanet_91496","Snowflake vitreoretinal degeneration",251
"Orphanet_649","Norrie disease",61
"Orphanet_215","Congenital stationary night blindness",215
"Orphanet_2518","Autosomal recessive chorioretinopathy-microcephaly",285
"Orphanet_231169","Usher syndrome type 1",160
"EFO_0009026","Bardet-Biedl syndrome 7",1
"Orphanet_313850","Infantile cerebellar-retinal degeneration",6
"Orphanet_99179","Kandori fleck retina",27
"Orphanet_98665","Colobomatous and areolar dystrophy",219
"Orphanet_512","Metachromatic leukodystrophy",238
"Orphanet_228366","CLN7 disease",153
"Orphanet_255210","Maternally-inherited Leigh syndrome",227
"Orphanet_88629","Tritanopia",12
"MONDO_0021581","connective tissue neoplasm",10297
"EFO_1001056","myxosarcoma",2
"MONDO_0018271","peripheral primitive neuroectodermal tumor",60
"EFO_0000502","ganglioneuroblastoma",102
"MONDO_0016096","malignant non-dysgerminomatous germ cell tumor of ovary",11
"EFO_1000574","Testicular Yolk Sac Tumor",11
"EFO_1000473","Phosphaturic Mesenchymal Tumor",12
"EFO_0002939","medulloblastoma",2388
"EFO_1000368","Medullomyoblastoma with Myogenic Differentiation",65
"EFO_0000174","Ewing sarcoma",1042
"EFO_0009553","HIV-associated cancer",2
"MONDO_0002746","fallopian tube adenocarcinoma",36
"MONDO_0018531","carcinoma of liver and intrahepatic biliary tract",6851
"EFO_1001005","Klatskin's tumor",0
"MONDO_0018532","adenocarcinoma of liver and intrahepatic biliary tract",6837
"MONDO_0018502","hereditary gastric cancer",143
"EFO_1001928","small intestine neuroendocrine tumor",131
"MONDO_0000540","small intestinal neuroendocrine tumor G1",64
"MONDO_0000521","salivary gland carcinoma",383
"EFO_1000516","Salivary Gland Carcinoma ex Pleomorphic Adenoma",84
"EFO_1000348","Malignant Adrenal Gland Pheochromocytoma",66
"EFO_0000563","large cell neuroendocrine carcinoma",226
"MONDO_0016286","adenoid cystic carcinoma of the cervix uteri",1
"EFO_1002015","HPV-associated cervical carcinoma",6
"EFO_1001049","mucoepidermoid tumor",380
"EFO_1000489","Poorly Differentiated Thyroid Gland Carcinoma",99
"EFO_0000681","renal cell carcinoma",4356
"MONDO_0008734","adrenocortical carcinoma, hereditary",1
"EFO_1000796","adrenal cortex carcinoma",1490
"EFO_0003016","collecting duct carcinoma",707
"EFO_1000317","Lacrimal Gland Adenoid Cystic Carcinoma",12
"EFO_1000042","ovarian clear cell adenocarcinoma",165
"EFO_1000303","Infiltrating Bladder Urothelial Carcinoma Sarcomatoid Variant",6
"MONDO_0002466","eye carcinoma",66
"EFO_1000601","Transitional Cell Carcinoma",1518
"EFO_0005717","retinoblastoma (nonhereditary)",4
"MONDO_0002217","central nervous system sarcoma",165
"MONDO_0003766","thalamic cancer",135
"Orphanet_319487","Familial papillary or follicular thyroid carcinoma",42
"EFO_1000520","Sarcomatoid Carcinoma",224
"EFO_1001480","metastatic colorectal cancer",711
"MONDO_0004727","vestibule of mouth cancer",17
"MONDO_0004700","parotid gland cancer",86
"EFO_1000305","Intimal Sarcoma",33
"EFO_0000691","sarcoma",5060
"MONDO_0021248","nervous system neoplasm",9450
"EFO_1000158","Central Nervous System Neoplasm",9046
"MONDO_0016729","mixed neuronal-glial tumor",383
"EFO_0008501","dysplasia",2433
"EFO_0006858","epithelial neoplasm",16034
"EFO_1000015","aldosterone-producing adenoma",511
"EFO_1000503","Rectal Traditional Serrated Adenoma",6
"EFO_1000225","Duodenal Villous Adenoma",1
"MONDO_0024479","epithelial tumor of colon",4706
"EFO_1000330","Low Grade Vulvar Intraepithelial Neoplasia",2
"EFO_1000195","Colorectal Neuroendocrine Tumor G1",33
"EFO_1000258","Fibrous Meningioma",16
"EFO_1000082","Anaplastic (Malignant) Meningioma",4
"EFO_1000074","Adrenal Gland Myelolipoma",22
"EFO_1000360","Malignant Paraganglioma",13
"MONDO_0024478","mesenchymal hamartoma",26
"EFO_1000422","Ovarian Gynandroblastoma",2
"EFO_1001513","liver neoplasm",8006
"EFO_1001487","secondary biliary cirrhosis",11
"Orphanet_97286","Carney-Stratakis syndrome",20
"EFO_1000112","Benign Ovarian Brenner Tumor",5
"EFO_1000271","Gastric Hamartomatous Polyp",2
"EFO_0003859","uterine neoplasm",4343
"EFO_1000137","Borderline Ovarian Endometrioid Tumor",4
"EFO_1000237","Endometrial Polyp",75
"EFO_1000777","vulva fibroepithelial polyp",0
"EFO_0003891","biliary tract neoplasm",2115
"EFO_1001331","Genital neoplasm, female",28
"MONDO_0060765","fibroepithelial polyp",12
"Orphanet_47044","Familial papillary renal cell carcinoma",2
"MONDO_0003719","renal pelvis neoplasm",313
"EFO_0007271","fibroepithelial neoplasm",282
"MONDO_0015157","human herpesvirus 8-related tumor",797
"MONDO_0017342","Epstein-Barr virus-related tumor",2482
"MONDO_0021121","hemangioendothelioma",100
"EFO_0008549","digestive system neoplasm",12531
"EFO_1000226","Dysplasia in Ulcerative Colitis",84
"Orphanet_261600","Alagille syndrome due to 20p12 microdeletion",46
"Orphanet_231144","Silver-Russell syndrome due to 11p15 microduplication",0
"Orphanet_347","Frasier syndrome",36
"Orphanet_524","Li-Fraumeni syndrome",218
"Orphanet_238510","Lymphoproliferative syndrome",1374
"Orphanet_275517","Autoimmune lymphoproliferative syndrome with recurrent viral infections",10
"Orphanet_275523","Dianzani autoimmune lymphoproliferative disease",6
"EFO_1000525","Simple Endometrial Hyperplasia",12
"EFO_1000457","Parathyroid Hyperplasia",53
"HP_0001525","Severe failure to thrive",7
"EFO_0004566","body weight gain",753
"HP_0003508","Proportionate short stature",12
"EFO_0006988","endophenotype",349
"HP_0009762","facial wrinkling",15
"HP_0002779","Tracheomalacia",0
"HP_0012735","Cough",537
"HP_0006515","Interstitial pneumonitis",90
"HP_0002110","Bronchiectasis",365
"HP_0012255","Dynein arm defect of respiratory motile cilia",3
"HP_0011121","Abnormality of skin morphology",443
"HP_0045059","Hyperkeratotic papule",5
"HP_0031456","ectopic pregnancy",182
"HP_0000396","Overfolded helix",2
"EFO_0009445","anoxya",0
"HP_0009049","Peroneal muscle atrophy",3
"HP_0003031","Ulnar bowing",2
"EFO_0004272","anemia",1973
"EFO_0000734","vitamin B12 deficiency",344
"EFO_0009876","abnormal lipolysis",2
"EFO_0009895","oxcarbazepine-induced hyponatremia",0
"EFO_0008574","gangrene",178
"HP_0000093","Proteinuria",2125
"HP_0012210","Abnormal renal morphology",221
"HP_0012385","Camptodactyly",30
"EFO_1001866","ventral hernia",143
"HP_0001405","Periportal fibrosis",36
"HP_0000044","Hypogonadotrophic hypogonadism",52
"HP_0003154","Increased circulating ACTH level",37
"HP_0012332","Abnormal autonomic nervous system physiology",174
"HP_0007141","Sensorimotor neuropathy",65
"EFO_0007634","major depressive episode",122
"HP_0001348","Brisk reflexes",2
"HP_0001288","gait disturbance",243
"HP_0040083","Toe walking",9
"HP_0006957","Loss of ability to walk",7
"HP_0100716","Self-injurious behavior",133
"HP_0012167","Hair-pulling",26
"EFO_0005230","anxiety",809
"HP_0002135","Basal ganglia calcification",4
